L. 84/1963,per le assistenti sanitarie visitatrici provinciali,Sanità e salute pubblica,0.95,"Lavoro, Welfare e affari sociali",0.6
L. 452/1952,a vendere a trattativa privata al comune di Viareggio una zona di arenile estesa metri quadrati per il prezzo di lire,Tassazione e spesa pubblica,0.95,"Istituzioni, governo e politica",0.7
L. 400/1988,Disciplina dell'attività di e ordinamento della del Consiglio dei Ministri,"Istituzioni, governo e politica",0.95,Diritti civili e politici,0.6
L. 1209/1957,Concorso dello Stato nelle spese di gestione dell'ammasso dell'olio di oliva di pressione della campagna di produzione -,Tassazione e spesa pubblica,0.95,"Istituzioni, governo e politica",0.7
L. 38/1968,dei benefici integrativi disposti a favore dei comuni dalle leggi e per la costruzione o il completamento delle reti di distribuzione idrica nell'interno degli abitati e la costruzione o il completamento degli impianti e reti di fognatura,"Istituzioni, governo e politica",0.95,Politiche abitative e sviluppo urbano,0.7
L. 295/1958,alla sull'avanzamento degli ufficiali dell'Esercito della Marina e dell'Aeronautica e alla sullo stato giuridico e l'avanzamento degli ufficiali del Corpo delle guardie di pubblica sicurezza,Difesa e forze armate,0.95,Sicurezza e gestione emergenze,0.7
L. 214/2011,in con del per la crescita l'equità e il consolidamento dei conti pubblici (G),Incerto,0.0,Incerto,0.0
L. 521/1970,Completamento della nuova sede della scuola archeologica italiana di Atene,"Istruzione, cultura, informazione e religione",0.95,Regioni ed enti locali,0.6
L. 180/1992,Partecipazione dell'Italia alle iniziative di pace ed umanitarie in sede internazionale,Incerto,0.0,Incerto,0.0
L. 385/1968,ed integrazioni alla il piano di nuove costruzioni stradali e autostradali,Trasporti e infrastrutture,0.95,Incerto,0.05
L. 601/1976,in del finanziamento degli interventi per la cooperazione tecnica con i Paesi in via di sviluppo,"Economia, finanza e commercio",0.95,Incerto,0.0
L. 1024/1973,ed della sulla conservazione delle risorse biologiche dell'Atlantico sud orientale adottata a Roma il,Ambiente e risorse naturali,0.95,"Istituzioni, governo e politica",0.7
L. 194/1978,per la tutela sociale della maternità e sull'interruzione volontaria della gravidanza,"Lavoro, Welfare e affari sociali",0.95,Diritti civili e politici,0.7
L. 141/2002,in con del misure per assicurare ospitalità temporanea e protezione ad alcuni palestinesi,Diritti civili e politici,0.85,Sicurezza e gestione emergenze,0.45
L. 87/1983,in del sul regime autorizzatorio per gli investimenti comportanti aumento delle capacità produttive delle imprese siderurgiche e integrative e modificative dell' della,"Economia, finanza e commercio",0.95,"Tecnologia, ricerca e innovazione",0.3
L. 22/1962,Impiego da parte di enti pubblici di società per azioni ed a responsabilità limitata aziende ed istituti di credito e altri di macchine elettriche bollatrici per la corresponsione dell'imposta di bollo,Incerto,0.0,Incerto,0.0
L. 224/1997,ed dell'accordo tra la italiana e la ceca sulla promozione e protezione degli investimenti fatto a Roma il,Affari intrnazionali e cooperazione,0.95,Incerto,0.05
L. 458/1967,Trapianto del rene tra persone viventi,Sanità e salute pubblica,0.95,"Tecnologia, ricerca e innovazione",0.6
L. 1549/1962,Integrazioni e della per la costruzione del canale navigabile Milano-Cremona-Po,Incerto,0.0,Incerto,0.0
L. 57/1970,la carriera degli appuntati di pubblica sicurezza provenienti dai sottufficiali assunti in servizio temporaneo di polizia del,Sicurezza e gestione emergenze,0.95,"Istituzioni, governo e politica",0.6
L. 177/1951,di spesa per l'intensificazione della sperimentazione maidicola e per favorire la diffusione dei mais ibridi in Italia,"Agricoltura, caccia e pesca",0.95,"Tecnologia, ricerca e innovazione",0.6
L. 1075/1952,di un contributo dello Stato nelle spese per la continuazione dell'edizione degli scritti e dei disegni di Leonardo da Vinci per l' finanziario -,Incerto,0.0,Incerto,0.0
L. 138/1952,in del eccezionali per il pagamento delle pensioni statali intestate ad assegnatari sfollati in conseguenza delle alluvioni,Trasporti e infrastrutture,0.85,Sanità e salute pubblica,0.45
